SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,1508 NW Benfield Dr,Portland,OR,97229,1115000,5,3.5,FOREST HEIGHTS,5828,8276,1995,73,191,63,Sold,http://www.redfin.com/OR/Portland/1508-NW-Benfield-Dr-97229/home/25859352,RMLS,21452721,45.5340533,-122.7711932
PAST SALE,Single Family Residential,14773 SW Huntwood Ct,Tigard,OR,97224,614000,4,3.5,VALLEY VIEW,3799,8276,2005,1741,162,33,Sold,http://www.redfin.com/OR/Tigard/14773-SW-Huntwood-Ct-97224/home/26721895,RMLS,16697405,45.4053998,-122.828978
PAST SALE,Single Family Residential,2632 SE Risley Ave,Milwaukie,OR,97267,490000,4,1.5,Oak Grove,1376,8276,1977,32,356,13,Sold,http://www.redfin.com/OR/Milwaukie/2632-SE-Risley-Ave-97267/home/25946435,RMLS,21002756,45.4069373,-122.6368531
PAST SALE,Single Family Residential,12207 SW 18th Ave,Portland,OR,97219,553500,4,2.5,Squire Crest,2321,5662,1999,1366,238,21,Sold,http://www.redfin.com/OR/Portland/12207-SW-18th-Ave-97219/home/26616081,RMLS,17202947,45.4372484,-122.6956768
PAST SALE,Single Family Residential,12442 NW Lilywood Dr,Portland,OR,97229,1150000,4,3.5,NW Washington Co or Sauvie Island,4117,10018,2002,29,279,21,Sold,http://www.redfin.com/OR/Portland/12442-NW-Lilywood-Dr-97229/home/26731142,RMLS,21153265,45.5378091,-122.8041223
PAST SALE,Single Family Residential,11441 NW Paulson Ln,Portland,OR,97229,705000,4,3,BONNY SLOPE,2935,6098,2010,1061,240,30,Sold,http://www.redfin.com/OR/Portland/11441-NW-Paulson-Ln-97229/home/26651632,RMLS,18396955,45.5389361,-122.7946206
PAST SALE,Single Family Residential,6014 NW Calypso Ter,Portland,OR,97229,636000,4,2.5,NW Washington Co or Sauvie Island,1963,6098,1997,78,324,12,Sold,http://www.redfin.com/OR/Portland/6014-NW-Calypso-Ter-97229/home/26718020,RMLS,21269283,45.5633887,-122.8324235
PAST SALE,Single Family Residential,14452 NW Listel Ln,Portland,OR,97229,645000,3,2,NW Washington Co or Sauvie Island,1854,6534,1996,23,348,32,Sold,http://www.redfin.com/OR/Portland/14452-NW-Listel-Ln-97229/home/26721960,RMLS,21514763,45.5435155,-122.8259995
PAST SALE,Single Family Residential,8741 SE Margie Way,Happy Valley,OR,97086,502000,4,2.5,FALLS/HAPPY VLY 2,2787,6969,2003,1436,180,38,Sold,http://www.redfin.com/OR/Happy-Valley/8741-SE-Margie-Way-97086/home/25847828,RMLS,17512280,45.458777,-122.5254688
PAST SALE,Single Family Residential,2535 SW Roxbury Ave,Portland,OR,97225,849900,5,3.5,CEDAR HILLS,3300,20473,1968,66,258,13,Sold,http://www.redfin.com/OR/Portland/2535-SW-Roxbury-Ave-97225/home/26667050,RMLS,21076422,45.5016971,-122.7907061
PAST SALE,Single Family Residential,16713 NW Countryridge Dr,Portland,OR,97229,495000,4,2.5,Bethany,2496,4791,1999,1747,198,7,Sold,http://www.redfin.com/OR/Portland/16713-NW-Countryridge-Dr-97229/home/26716777,RMLS,16416211,45.5544845,-122.8482776
PAST SALE,Single Family Residential,15962 NW Tullamorrie Way,Portland,OR,97229,950000,3,3,NW Washington Co or Sauvie Island,2373,6969,1994,23,400,93,Sold,http://www.redfin.com/OR/Portland/15962-NW-Tullamorrie-Way-97229/home/26608940,RMLS,21596659,45.5520411,-122.8409202
