SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE,geometry
PAST SALE,Single Family Residential,13209 NW Lombardy Dr,Portland,OR,97229,911000,5,3.0,NW Washington Co or Sauvie Island,3810,6534,2017,25,239,50,Sold,http://www.redfin.com/OR/Portland/13209-NW-Lombardy-Dr-97229/home/101101863,RMLS,21254912,45.5615772,-122.81313870000001,POINT (-13671496.06280768 5710367.871925082)
PAST SALE,Townhouse,16093 NW Hildago Ln,Portland,OR,97229,425000,3,2.5,Arbor Parc,1479,1742,2007,165,287,233,Sold,http://www.redfin.com/OR/Portland/16093-NW-Hildago-Ln-97229/home/25774056,RMLS,21454159,45.5557792,-122.84276200000001,POINT (-13674793.7134793 5709446.063462942)
PAST SALE,Single Family Residential,11387 NW Elise Ln Unit L-2,Portland,OR,97229,639990,3,2.5,IRON RIDGE HEIGHTS,3001,4791,2019,652,213,34,Sold,http://www.redfin.com/OR/Portland/11387-NW-Elise-Ln-97229/home/161340594,RMLS,19195161,45.540042,-122.7941254,POINT (-13669379.51193338 5706944.527570045)
PAST SALE,Single Family Residential,8593 SE Boulder Creek Ct,Happy Valley,OR,97086,745000,5,4.5,Falls at Happy Valley,6227,8712,2004,862,120,31,Sold,http://www.redfin.com/OR/Happy-Valley/8593-SE-Boulder-Creek-Ct-97086/home/25866459,RMLS,19324447,45.4605065,-122.522873,POINT (-13639183.83288893 5694312.512100724)
PAST SALE,Townhouse,16174 NW Fescue Ct,Portland,OR,97229,335000,3,2.5,Sommerset West-Elmonica N,1480,1742,2000,1507,226,186,Sold,http://www.redfin.com/OR/Portland/16174-NW-Fescue-Ct-97229/home/26641796,RMLS,17586139,45.5642598,-122.8430939,POINT (-13674830.66041829 5710794.40348963)
PAST SALE,Single Family Residential,14147 SE Harney St,Portland,OR,97236,430000,4,2.5,Portland Southeast,2800,7840,2003,625,154,15,Sold,http://www.redfin.com/OR/Portland/14147-SE-Harney-St-97236/home/26594359,RMLS,19052757,45.4627701,-122.51725049999999,POINT (-13638557.93905194 5694671.775849844)
PAST SALE,Townhouse,4889 NW 162nd Ter,Portland,OR,97229,368000,3,2.5,Arbor Parc,1476,1306,2007,1562,249,162,Sold,http://www.redfin.com/OR/Portland/4889-NW-162nd-Ter-97229/home/25792435,RMLS,17299257,45.555205900000004,-122.84430290000002,POINT (-13674965.24568266 5709354.921201582)
PAST SALE,Townhouse,6337 NW 160th Ave,Portland,OR,97229,365000,3,2.5,NORTH BETHANY CREEK,1366,1742,2015,1142,267,163,Sold,http://www.redfin.com/OR/Portland/6337-NW-160th-Ave-97229/home/65681343,RMLS,18665797,45.565467600000005,-122.8422017,POINT (-13674731.3411686 5710986.449512695)
PAST SALE,Townhouse,6383 NW 160th Ave,Portland,OR,97229,356000,3,2.5,North Bethany,1366,1742,2015,1495,261,163,Sold,http://www.redfin.com/OR/Portland/6383-NW-160th-Ave-97229/home/65681340,RMLS,17109087,45.5658159,-122.84226100000001,POINT (-13674737.94241441 5711041.831658966)
PAST SALE,Townhouse,6371 NW 160th Ave,Portland,OR,97229,395000,3,2.5,NORTH BETHANY CREEK,1404,1742,2015,263,281,175,Sold,http://www.redfin.com/OR/Portland/6371-NW-160th-Ave-97229/home/65681339,RMLS,20659605,45.5658153,-122.84234840000002,POINT (-13674747.67173791 5711041.736254457)
PAST SALE,Townhouse,15977 NW French Ln,Portland,OR,97229,360000,3,2.5,NW Washington Co or Sauvie Island,1404,1742,2015,1236,256,163,Sold,http://www.redfin.com/OR/Portland/15977-NW-French-Ln-97229/home/65681337,RMLS,18469452,45.566042100000004,-122.8415205,POINT (-13674655.51033148 5711077.799231593)
PAST SALE,Single Family Residential,15955 NW Rossetta St,Portland,OR,97229,565000,5,3.0,BETHANY CREEK,3010,3920,2015,1649,188,60,Sold,http://www.redfin.com/OR/Portland/15955-NW-Rossetta-St-97229/home/65681311,RMLS,16694854,45.567335899999996,-122.84150819999999,POINT (-13674654.14110174 5711283.526353855)
PAST SALE,Single Family Residential,15948 NW Rossetta St,Portland,OR,97229,660000,5,4.0,NORTH BETHANY CREEK,3385,4356,2015,701,195,60,Sold,http://www.redfin.com/OR/Portland/15948-NW-Rossetta-St-97229/home/65681309,RMLS,19182035,45.5669349,-122.84134660000001,POINT (-13674636.15187203 5711219.762842018)
PAST SALE,Single Family Residential,15982 NW Rossetta St,Portland,OR,97229,605500,6,4.0,NORTH BETHANY CREEK,3005,4356,2015,1331,201,60,Sold,http://www.redfin.com/OR/Portland/15982-NW-Rossetta-St-97229/home/65681306,RMLS,17522726,45.5669505,-122.8419367,POINT (-13674701.84150354 5711222.24340903)
PAST SALE,Single Family Residential,15963 NW Linder St,Portland,OR,97229,565000,5,3.0,NW Washington Co or Sauvie Island,2698,4356,2015,1800,209,60,Sold,http://www.redfin.com/OR/Portland/15963-NW-Linder-St-97229/home/65681281,RMLS,16632769,45.5686977,-122.841628,POINT (-13674667.47717674 5711500.07127393)
PAST SALE,Single Family Residential,15907 NW Rossetta St,Portland,OR,97229,553000,4,3.0,NORTH BETHANY CREEK,2425,3920,2015,1219,228,60,Sold,http://www.redfin.com/OR/Portland/15907-NW-Rossetta-St-97229/home/65681288,RMLS,18595105,45.567398100000005,-122.84080490000001,POINT (-13674575.85010387 5711293.416894476)
PAST SALE,Townhouse,15900 NW Brugger Rd,Portland,OR,97229,442000,3,2.5,North Bethany Creek,2010,3049,2015,911,220,163,Sold,http://www.redfin.com/OR/Portland/15900-NW-Brugger-Rd-97229/home/65681269,RMLS,19186886,45.569182899999994,-122.84070530000001,POINT (-13674564.76268258 5711577.226012263)
PAST SALE,Townhouse,15906 NW Brugger Rd,Portland,OR,97229,419000,3,2.5,NORTH BETHANY CREEK,1774,1800,2015,1074,236,163,Sold,http://www.redfin.com/OR/Portland/15906-NW-Brugger-Rd-97229/home/65681268,RMLS,18299121,45.569032,-122.8408502,POINT (-13674580.8928768 5711553.230371988)
