SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,9930 N Jersey St,Portland,OR,97203,219400,2,1,,936,5000,1955,,234,,,,,http://www.redfin.com/OR/Portland/9930-N-Jersey-St-97203/home/26568803,,,N,Y,45.5980933,-122.7626639
PAST SALE,,Condo/Co-op,725 NW Flanders St #102,Portland,OR,97209,513400,,3,,1634,,1921,,314,,,,,http://www.redfin.com/OR/Portland/725-NW-Flanders-St-97209/unit-102/home/26362287,,,N,Y,45.5259823,-122.6783144
PAST SALE,January-12-2021,Other,6901 SE Oaks Park Way Unit G,Portland,OR,97202,600000,3,2.5,Oregon Yacht Club,3000,,1987,235,200,500,Sold,,,http://www.redfin.com/OR/Portland/6901-SE-Oaks-Park-Way-97202/unit-G/home/165552889,RMLS,20400836,N,Y,45.4743689,-122.6623075
PAST SALE,April-28-2017,Single Family Residential,8404 NE Holladay St,Portland,OR,97220,550000,4,3,MONTAVILLA,2539,10018,1931,1590,217,,Sold,,,http://www.redfin.com/OR/Portland/8404-NE-Holladay-St-97220/home/26561818,RMLS,17498955,N,Y,45.5300141,-122.5760843
PAST SALE,June-25-2021,Single Family Residential,1723 SE 139th Ave,Portland,OR,97233,510000,5,2.5,HOOD ACRES,2470,7405,2007,71,206,,Sold,,,http://www.redfin.com/OR/Portland/1723-SE-139th-Ave-97233/home/26615499,RMLS,21063625,N,Y,45.5110434,-122.5213325
PAST SALE,June-5-2017,Single Family Residential,14 SE 139th Ave,Portland,OR,97233,276500,2,1,HAZELWOOD,910,11325,1945,1552,304,,Sold,,,http://www.redfin.com/OR/Portland/14-SE-139th-Ave-97233/home/26437567,RMLS,17655549,N,Y,45.5220293,-122.5206714
PAST SALE,,Single Family Residential,5025 NE Multnomah St,Portland,OR,97213,750000,5,3,,2804,4791,1927,,267,,,,,http://www.redfin.com/OR/Portland/5025-NE-Multnomah-St-97213/home/26622104,,,N,Y,45.531417,-122.6115074
PAST SALE,October-19-2017,Condo/Co-op,6665 W Burnside Rd #442,Portland,OR,97210,314000,2,2,WEST HILLS,1097,,1996,1416,286,548,Sold,,,http://www.redfin.com/OR/Portland/6665-W-Burnside-Rd-97210/unit-442/home/25741989,RMLS,17141274,N,Y,45.5183846,-122.7456847
PAST SALE,July-21-2021,Single Family Residential,12250 NW West Rd,Portland,OR,97229,1200000,5,3,BAUER WOODS ESTATES,4405,14374,1994,45,272,8,Sold,,,http://www.redfin.com/OR/Portland/12250-NW-West-Rd-97229/home/26563993,RMLS,21077843,N,Y,45.543542,-122.8028701
PAST SALE,,Single Family Residential,6843 NE Stanton St,Portland,OR,97213,550000,4,3,,2523,5500,1923,,218,,,,,http://www.redfin.com/OR/Portland/6843-NE-Stanton-St-97213/home/26408626,,,N,Y,45.5438571,-122.5922949
PAST SALE,May-17-2019,Townhouse,4548 SE Haig St,Portland,OR,97206,485000,3,2.5,RICHMOND,1769,2613,2008,841,274,,Sold,,,http://www.redfin.com/OR/Portland/4548-SE-Haig-St-97206/home/25788337,RMLS,19069936,N,Y,45.4980917,-122.6153161
PAST SALE,May-10-2017,Single Family Residential,4545 SW View Point Ter,Portland,OR,97239,515000,3,2,Lair Hill,1610,4356,1880,1578,320,,Sold,,,http://www.redfin.com/OR/Portland/4545-SW-View-Point-Ter-97239/home/25825179,RMLS,17425758,N,Y,45.4901,-122.6780502
PAST SALE,July-22-2020,Single Family Residential,6949 NE Stanton St,Portland,OR,97213,419000,2,1,Portland Northeast,1317,5662,1927,409,318,,Sold,,,http://www.redfin.com/OR/Portland/6949-NE-Stanton-St-97213/home/25866820,RMLS,20688110,N,Y,45.5438386,-122.5910668
PAST SALE,December-20-2016,Condo/Co-op,2525 SE 119th Ave #1,Portland,OR,97266,124000,2,1,Portland Southeast,830,,1971,1719,149,174,Sold,,,http://www.redfin.com/OR/Portland/2525-SE-119th-Ave-97266/unit-1/home/25765203,RMLS,16267098,N,Y,45.5034785,-122.5411309
PAST SALE,September-16-2019,Single Family Residential,5370 NW Pondosa Dr,Portland,OR,97229,435000,3,2,ROCK CREEK RANCH,1602,8276,1978,719,272,,Sold,,,http://www.redfin.com/OR/Portland/5370-NW-Pondosa-Dr-97229/home/25801731,RMLS,19619614,N,Y,45.5578414,-122.8909912
